species,code,name,family,swatch_image
European Oak,NAT,Natural,Natural,
European Oak,T02,Stained T02,Stained,Rovere-Europeo-Doghe-T02-AB-2b6342df-640w.jpg
European Oak,T03,Stained T03,Stained,Rovere-Europeo-Doghe-T03-CD-ede067d5-640w.jpg
European Oak,T04,Stained T04,Stained,Rovere-Europeo-Doghe-T04-AB-640w.jpg
European Oak,T05,Stained T05,Stained,Rovere-Europeo-Doghe-T05-CD-640w.jpg
European Oak,T25,Stained T25,Stained,Rovere-Europeo-Doghe-T25-AB-640w.jpg
European Oak,T08,Stained T08,Stained,Rovere-Europeo-Doghe-T08-CD-640w.jpg
European Oak,T09,Stained T09,Stained,Rovere-Europeo-Doghe-T09-CD-640w.jpg
European Oak,T70,Stained T70,Stained,Rovere-Europeo-Doghe-T70-AB-640w.jpg
European Oak,T71,Stained T71,Stained,Rovere-Europeo-Doghe-T71-CD-640w.jpg
European Oak,T67,Stained T67,Stained,Rovere-Europeo-Doghe-T67-AB-640w.jpg
European Oak,T68,Stained T68,Stained,Rovere-Europeo-Doghe-T68-AB-640w.jpg
European Oak,T10,Stained T10,Stained,Rovere-Europeo-Doghe-T10-AB-640w.jpg
European Oak,T11,Stained T11,Stained,Rovere-Europeo-Doghe-T11-CD-88c831a7-640w.jpg
European Oak,T13,Stained T13,Stained,Rovere-Europeo-Doghe-T13-AB-640w.jpg
European Oak,T66,Stained T66,Stained,Rovere-Europeo-Doghe-T66-CD-640w.jpg
European Oak,T39,Smoked T39,Smoked,Rovere-Europeo-Doghe-T39-AB-640w.jpg
European Oak,T39T02,Smoked Stained T39T02,Smoked Stained,Rovere-Europeo-Doghe-T39T02-CD-640w.jpg
European Oak,T39T04,Smoked Stained T39T04,Smoked Stained,Rovere-Europeo-Doghe-T39T04-AB-640w.jpg
European Oak,T39T25,Smoked Stained T39T25,Smoked Stained,Rovere-Europeo-Spina-45-T39T25-ABC-2-640w.jpg
European Oak,T39T22,Smoked Stained T39T22,Smoked Stained,Rovere-Europeo-Doghe-T39T22-AB-640w.jpg
European Oak,T39T21,Smoked Stained T39T21,Smoked Stained,
European Oak,T39T99,Smoked Stained T39T99,Smoked Stained,Rovere-Europeo-Doghe-T39T99-CD-640w.jpg
European Oak,T56,T56 Reagent,Reagent,Rovere-Europeo-Doghe-Barrique-T56-D-640w.jpg
European Oak,T50,T50 Reagent,Reagent,Rovere-Europeo-Doghe-Barrique-T50-D-6f4c04fd-640w.jpg
European Oak,TR1,TR1 Reagent,Reagent,Rovere-Europeo-Doghe-TR1-CD-640w.jpg
European Oak,T80,Retrò T80 Bronzo,Retrò,
European Oak,T81,Retrò T81 Lino,Retrò,
European Oak,T82,Retrò T82 Ibisco,Retrò,
European Oak,T83,Retrò T83 Cotone,Retrò,
European Oak,T84,Retrò T84 Pastello,Retrò,
European Oak,T85,Retrò T85 Alcantara,Retrò,
Glacial Oak,NAT,Natural,Natural,
Glacial Oak,T02,T02,Other,
Glacial Oak,T25,T25,Other,
Glacial Oak,T04,T04,Other,
Glacial Oak,T68,T68,Other,
Glacial Oak,T09,T09,Other,
Glacial Oak,T11,T11,Other,
Glacial Oak,T66,T66,Other,
European Walnut,NAT,Natural,Natural,
American Walnut,NAT,Natural,Natural,
Asian Teak,NAT,Natural,Natural,
Austrian Larch Bio,Austrian,Austrian Larch Bio,Other,
Austrian Larch Bio,NAT,Natural,Natural,
Austrian Larch Bio,T02,T02,Other,
